Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
59,27,Female,Earrings,Accessories,138,Georgia,M,Purple,Winter,2.8,No,Express,Yes,No,14,Bank Transfer,Monthly
60,65,Female,Skirt,Clothing,112,Illinois,XXL,Orange,Summer,3,Yes,Express,No,Yes,55,Bank Transfer,Monthly
61,47,Male,Leggings,Clothing,51,Illinois,XXL,Navy,Spring,2.9,No,Free Shipping,No,Yes,54,PayPal,Annually
62,58,Female,Trench Coat,Outerwear,24,Colorado,XS,Red,Fall,5,Yes,Next Day Air,Yes,Yes,28,Debit Card,Annually
63,20,Female,Watch,Accessories,29,Ohio,M,Beige,Winter,1.6,No,Two-Day Shipping,Yes,Yes,11,Credit Card,Quarterly
64,61,Male,Puffer Jacket,Outerwear,142,Tennessee,XL,Navy,Summer,2.8,No,Next Day Air,No,Yes,57,Bank Transfer,Monthly
65,22,Female,Sunglasses,Accessories,103,Colorado,M,Orange,Winter,3.8,No,Free Shipping,Yes,No,54,Apple Pay,Daily
66,54,Female,Mules,Footwear,90,Oregon,M,Black,Winter,2.1,Yes,Two-Day Shipping,No,No,49,Bank Transfer,Weekly
67,58,Male,Scarf,Accessories,79,Nevada,XXL,Orange,Summer,3.5,Yes,Free Shipping,No,Yes,37,PayPal,Annually
68,36,Female,Boots,Footwear,121,Florida,S,Navy,Fall,3.1,No,Express,No,No,51,PayPal,Annually
69,47,Male,Belt,Accessories,51,Virginia,S,Orange,Winter,4.9,No,Standard,No,Yes,16,Google Pay,Daily
70,61,Female,Trench Coat,Outerwear,112,Washington,XXL,Beige,Spring,3.7,No,Standard,No,Yes,41,Credit Card,Annually
71,59,Female,Trench Coat,Outerwear,44,Florida,XS,Black,Fall,5,Yes,Standard,Yes,Yes,24,Apple Pay,Bi-Weekly
72,65,Male,Puffer Jacket,Outerwear,121,Nevada,XS,Yellow,Winter,4.8,No,Standard,No,Yes,28,Apple Pay,Weekly
73,61,Female,Belt,Accessories,106,Texas,L,Olive,Summer,4.9,No,Standard,Yes,Yes,3,Bank Transfer,Bi-Weekly
74,68,Male,Loafers,Footwear,32,Washington,XL,Red,Summer,4.3,Yes,Free Shipping,Yes,Yes,17,Bank Transfer,Weekly
75,69,Male,Flip Flops,Footwear,43,Nevada,XS,Navy,Spring,2.4,Yes,Two-Day Shipping,No,Yes,11,PayPal,Daily
76,51,Male,Mules,Footwear,31,Arizona,L,Beige,Spring,2.8,Yes,Two-Day Shipping,Yes,No,29,Cash,Daily
77,43,Female,Cardigan,Clothing,42,Arizona,XXL,Yellow,Spring,4.6,No,Two-Day Shipping,Yes,Yes,8,PayPal,Quarterly
78,56,Female,Bracelet,Accessories,131,Michigan,XL,Pink,Spring,4.2,Yes,Store Pickup,Yes,No,28,Debit Card,Monthly
79,43,Female,Earrings,Accessories,39,Georgia,L,Beige,Fall,2.5,Yes,Store Pickup,No,Yes,5,Bank Transfer,Daily
80,24,Female,Coat,Clothing,48,Michigan,XS,Teal,Fall,3.7,No,Free Shipping,No,Yes,18,Google Pay,Bi-Weekly
81,54,Male,Belt,Accessories,54,Nevada,L,Red,Spring,2.4,No,Standard,No,Yes,51,Apple Pay,Quarterly
82,60,Female,Vest,Clothing,22,Florida,M,Cream,Fall,4.7,No,Standard,Yes,Yes,36,Cash,Monthly
83,65,Male,Dress,Clothing,38,Oregon,XL,Red,Winter,2.7,No,Express,No,No,46,PayPal,Quarterly
84,27,Male,T-shirt,Clothing,27,Nevada,XS,Olive,Winter,3.6,No,Two-Day Shipping,No,No,17,Debit Card,Quarterly
85,45,Male,Skirt,Clothing,87,Nevada,XXL,Teal,Winter,3.1,No,Standard,Yes,No,38,Credit Card,Daily
86,31,Male,Flip Flops,Footwear,80,Ohio,M,White,Spring,3,No,Express,Yes,No,34,Cash,Weekly
87,43,Male,Belt,Accessories,126,Texas,L,White,Fall,3.3,No,Store Pickup,No,No,7,Apple Pay,Daily
88,69,Female,Sunglasses,Accessories,107,California,L,White,Summer,2.7,No,Two-Day Shipping,Yes,No,55,PayPal,Annually
89,39,Male,Scarf,Accessories,34,Michigan,XXL,White,Summer,4.6,No,Free Shipping,Yes,Yes,6,Debit Card,Bi-Weekly
90,56,Male,Loafers,Footwear,34,Florida,XXL,Yellow,Winter,4,No,Store Pickup,No,No,9,Apple Pay,Daily
91,58,Female,Parka,Outerwear,85,Colorado,XS,Beige,Spring,2.2,No,Standard,Yes,No,53,PayPal,Daily
92,56,Female,Vest,Clothing,133,Colorado,XL,Cream,Spring,2.8,Yes,Free Shipping,No,Yes,3,Apple Pay,Daily
93,50,Male,Belt,Accessories,25,New York,XXL,Yellow,Winter,3.1,Yes,Free Shipping,No,No,24,Apple Pay,Bi-Weekly
94,22,Female,Skirt,Clothing,39,Michigan,XXL,Pink,Fall,2,Yes,Free Shipping,Yes,Yes,58,PayPal,Bi-Weekly
95,56,Male,Windbreaker,Outerwear,94,Michigan,L,Orange,Fall,4.3,Yes,Store Pickup,No,No,1,PayPal,Bi-Weekly
96,39,Female,Heels,Footwear,64,New York,S,Navy,Spring,2.2,Yes,Two-Day Shipping,Yes,No,56,Bank Transfer,Quarterly
97,27,Male,Mules,Footwear,61,Washington,XXL,Teal,Summer,3.9,Yes,Next Day Air,No,Yes,28,Google Pay,Bi-Weekly
98,52,Male,Windbreaker,Outerwear,94,Virginia,L,Red,Fall,3.7,No,Next Day Air,No,No,32,Google Pay,Monthly
99,69,Male,Heels,Footwear,79,Texas,XXL,Yellow,Fall,3.2,Yes,Store Pickup,Yes,No,5,Bank Transfer,Weekly
100,50,Male,Earrings,Accessories,126,California,S,Yellow,Fall,4.7,No,Standard,No,No,15,Apple Pay,Daily
101,19,Female,Scarf,Accessories,40,Washington,XXL,Orange,Fall,4.2,Yes,Standard,No,No,44,Bank Transfer,Weekly
102,57,Male,Parka,Outerwear,35,Texas,M,Red,Summer,3.2,No,Standard,No,Yes,19,Credit Card,Daily
103,58,Female,Mules,Footwear,31,California,L,Teal,Spring,,Yes,Store Pickup,Yes,No,27,Credit Card,Quarterly
104,54,Female,Scarf,Accessories,62,Nevada,XXL,White,Fall,1.3,Yes,Next Day Air,No,Yes,40,Apple Pay,Bi-Weekly
105,40,Male,Watch,Accessories,103,New York,XXL,Orange,Spring,4.1,No,Express,Yes,No,34,PayPal,Annually
106,62,Female,Slip-ons,Footwear,61,Virginia,S,White,Winter,1.1,Yes,Standard,Yes,Yes,20,PayPal,Quarterly
107,48,Female,Puffer Jacket,Outerwear,24,Virginia,XXL,Red,Fall,2.4,Yes,Store Pickup,No,No,7,Bank Transfer,Bi-Weekly
108,65,Female,Parka,Outerwear,113,Georgia,S,Yellow,Winter,2.5,No,Standard,No,Yes,27,Google Pay,Weekly
109,24,Male,Necklace,Accessories,98,Nevada,M,Olive,Winter,,No,Express,No,No,28,Credit Card,Annually
110,35,Male,Bracelet,Accessories,34,Nevada,XXL,Pink,Fall,3.1,Yes,Standard,Yes,No,2,Debit Card,Daily
111,41,Female,Oxfords,Footwear,23,Colorado,S,Orange,Winter,4.8,No,Next Day Air,Yes,Yes,33,PayPal,Monthly
112,33,Male,Hat,Accessories,21,Oregon,S,Yellow,Winter,4.7,Yes,Free Shipping,No,No,13,Google Pay,Bi-Weekly
113,25,Male,Windbreaker,Outerwear,33,Arizona,S,Cream,Winter,5,No,Store Pickup,No,Yes,35,Google Pay,Bi-Weekly
114,63,Male,Sunglasses,Accessories,107,Michigan,S,White,Summer,4.2,Yes,Next Day Air,Yes,No,35,Google Pay,Bi-Weekly
115,26,Male,Puffer Jacket,Outerwear,31,Ohio,L,Cream,Winter,3.1,No,Two-Day Shipping,Yes,Yes,20,Cash,Daily
116,61,Female,Parka,Outerwear,47,Tennessee,XL,Orange,Summer,4.1,Yes,Next Day Air,Yes,Yes,33,Debit Card,Bi-Weekly
117,38,Male,Loafers,Footwear,103,Michigan,M,White,Fall,1.8,No,Express,No,Yes,32,Cash,Weekly
118,60,Female,Loafers,Footwear,25,Washington,XS,White,Spring,4.8,No,Store Pickup,Yes,No,39,Cash,Daily
119,36,Female,Puffer Jacket,Outerwear,138,New York,XXL,Pink,Fall,2.8,Yes,Express,No,No,30,Apple Pay,Weekly
120,38,Female,Sunglasses,Accessories,103,Illinois,S,Beige,Spring,2.3,No,Standard,No,No,15,Debit Card,Daily
121,42,Female,Shorts,Clothing,78,Washington,S,Beige,Fall,1.8,Yes,Next Day Air,No,No,56,PayPal,Monthly
122,43,Female,Jacket,Clothing,76,New York,XL,Beige,Spring,1.2,No,Two-Day Shipping,No,No,34,Credit Card,Daily
123,34,Female,Windbreaker,Outerwear,118,Georgia,XS,Pink,Spring,,Yes,Free Shipping,No,Yes,24,Google Pay,Monthly
124,26,Male,Belt,Accessories,115,Georgia,M,Purple,Fall,4,Yes,Two-Day Shipping,No,Yes,2,Credit Card,Weekly
125,51,Female,Earrings,Accessories,53,Colorado,XL,Navy,Fall,4.7,No,Express,No,No,37,PayPal,Quarterly
126,37,Female,Puffer Jacket,Outerwear,19,Georgia,M,Orange,Spring,4.9,No,Store Pickup,Yes,No,16,Cash,Quarterly
127,55,Female,Sneakers,Footwear,58,Michigan,XXL,Cream,Winter,1.6,Yes,Standard,Yes,Yes,1,Apple Pay,Bi-Weekly
128,44,Male,Windbreaker,Outerwear,120,Michigan,XL,Yellow,Spring,3.8,Yes,Two-Day Shipping,No,No,33,Apple Pay,Bi-Weekly
129,52,Female,Slip-ons,Footwear,105,Nevada,XXL,Orange,Fall,3.4,Yes,Express,No,No,14,PayPal,Bi-Weekly
130,38,Female,Slip-ons,Footwear,104,Michigan,XXL,Olive,Fall,1.5,No,Next Day Air,No,Yes,18,Credit Card,Bi-Weekly
131,46,Female,Skirt,Clothing,137,New York,S,Purple,Fall,,No,Express,Yes,Yes,15,Credit Card,Annually
132,21,Male,Heels,Footwear,120,Georgia,XXL,Yellow,Spring,3.7,Yes,Standard,Yes,No,41,Apple Pay,Monthly
133,38,Female,Flip Flops,Footwear,30,Tennessee,XS,Orange,Summer,3.1,Yes,Express,No,Yes,59,Credit Card,Monthly
134,65,Female,Windbreaker,Outerwear,24,Texas,M,Teal,Spring,4.7,No,Free Shipping,No,No,56,Debit Card,Quarterly
135,30,Male,Trench Coat,Outerwear,99,Florida,XXL,Yellow,Fall,3.9,Yes,Store Pickup,No,No,36,Cash,Weekly
136,70,Female,Mules,Footwear,146,Georgia,XS,Pink,Spring,1.7,Yes,Next Day Air,No,Yes,0,PayPal,Monthly
137,66,Female,Slip-ons,Footwear,99,Ohio,XL,Cream,Spring,2,No,Store Pickup,Yes,Yes,42,Credit Card,Monthly
138,43,Female,Sunglasses,Accessories,45,Nevada,M,Beige,Summer,1.9,Yes,Next Day Air,Yes,No,47,Google Pay,Bi-Weekly
139,48,Male,Puffer Jacket,Outerwear,78,Nevada,XL,White,Winter,3.1,No,Standard,Yes,Yes,53,Google Pay,Quarterly
140,28,Female,Loafers,Footwear,148,Arizona,XS,Orange,Summer,3.9,No,Standard,No,Yes,29,Debit Card,Quarterly
141,54,Male,Parka,Outerwear,133,Nevada,M,Cream,Spring,2.6,Yes,Store Pickup,Yes,Yes,2,Apple Pay,Bi-Weekly
142,21,Male,Leggings,Clothing,135,Texas,M,Pink,Summer,4.1,No,Free Shipping,No,No,55,Apple Pay,Monthly
143,26,Female,Leggings,Clothing,45,Florida,XL,Pink,Summer,3.9,Yes,Standard,Yes,No,29,Cash,Annually
144,42,Male,Puffer Jacket,Outerwear,78,Arizona,M,Navy,Fall,1.8,Yes,Standard,No,Yes,15,Debit Card,Daily
145,20,Female,Vest,Clothing,27,New York,XXL,Black,Winter,2.8,Yes,Standard,Yes,No,14,Bank Transfer,Annually
146,33,Female,Necklace,Accessories,51,Nevada,XL,Red,Winter,2.2,Yes,Two-Day Shipping,Yes,No,35,Apple Pay,Daily
147,68,Female,Bracelet,Accessories,121,Illinois,S,Olive,Winter,1.7,No,Express,Yes,No,54,Cash,Weekly
148,53,Female,Raincoat,Outerwear,121,Michigan,XL,Navy,Winter,2,Yes,Free Shipping,Yes,No,54,PayPal,Daily
149,35,Female,Sneakers,Footwear,25,Washington,XS,Red,Summer,2.9,No,Free Shipping,Yes,Yes,59,Debit Card,Annually
150,33,Male,Cardigan,Clothing,116,Tennessee,S,Purple,Fall,4.1,No,Next Day Air,No,No,16,PayPal,Quarterly
151,24,Female,Parka,Outerwear,96,Tennessee,S,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,16,Google Pay,Quarterly
152,27,Male,Trench Coat,Outerwear,99,New York,L,Teal,Summer,3,No,Free Shipping,No,No,29,Debit Card,Annually
153,26,Female,Sunglasses,Accessories,62,Tennessee,XL,Orange,Spring,3.1,Yes,Store Pickup,Yes,Yes,26,Debit Card,Annually
154,63,Male,Boots,Footwear,17,New York,XL,Yellow,Fall,1.2,No,Store Pickup,No,Yes,0,Google Pay,Quarterly
155,19,Female,Raincoat,Outerwear,88,Texas,XL,Cream,Winter,4.2,Yes,Standard,Yes,Yes,15,Debit Card,Quarterly
156,35,Female,Necklace,Accessories,35,Georgia,L,Yellow,Summer,5,Yes,Free Shipping,Yes,Yes,5,Apple Pay,Monthly
157,48,Male,Puffer Jacket,Outerwear,17,Oregon,S,White,Winter,4.4,No,Two-Day Shipping,Yes,Yes,14,Debit Card,Annually
158,20,Male,Trench Coat,Outerwear,86,Tennessee,XL,Teal,Spring,1.7,No,Standard,Yes,Yes,48,Bank Transfer,Annually
159,37,Male,Raincoat,Outerwear,76,Colorado,L,Orange,Fall,2.5,Yes,Store Pickup,Yes,No,3,Credit Card,Monthly
160,39,Female,Boots,Footwear,98,Texas,XXL,Olive,Winter,3,No,Two-Day Shipping,No,No,11,Cash,Quarterly
161,67,Female,Raincoat,Outerwear,78,Oregon,XS,White,Fall,1.6,Yes,Store Pickup,No,No,23,Credit Card,Daily
162,46,Female,Shorts,Clothing,84,California,S,White,Summer,2.7,No,Standard,Yes,Yes,22,Google Pay,Daily
163,18,Female,Bracelet,Accessories,120,Illinois,XS,Cream,Summer,3.3,Yes,Store Pickup,No,Yes,8,PayPal,Bi-Weekly
164,27,Male,Earrings,Accessories,57,Illinois,M,Pink,Fall,2.9,Yes,Free Shipping,No,Yes,46,Cash,Monthly
165,24,Male,Slip-ons,Footwear,92,Texas,L,Beige,Winter,4.2,No,Next Day Air,No,No,52,Bank Transfer,Annually
166,38,Male,Flip Flops,Footwear,137,Georgia,S,Pink,Fall,2.2,No,Two-Day Shipping,Yes,No,24,PayPal,Monthly
167,54,Male,Belt,Accessories,61,Nevada,XL,Black,Winter,4.8,Yes,Next Day Air,No,Yes,52,Bank Transfer,Monthly
168,58,Female,Windbreaker,Outerwear,76,Ohio,XXL,Navy,Winter,4.2,Yes,Next Day Air,No,No,34,Google Pay,Annually
169,20,Female,Puffer Jacket,Outerwear,36,California,S,Orange,Fall,1.7,Yes,Two-Day Shipping,No,No,50,Apple Pay,Daily
170,34,Male,Jacket,Clothing,145,Oregon,XL,Purple,Summer,2.8,No,Next Day Air,Yes,No,1,Apple Pay,Daily
171,23,Male,Bracelet,Accessories,51,Georgia,M,Beige,Winter,4.1,No,Free Shipping,No,Yes,28,Cash,Annually
172,22,Female,Trench Coat,Outerwear,26,Virginia,XXL,White,Spring,4.4,Yes,Store Pickup,Yes,Yes,33,Debit Card,Quarterly
173,53,Female,Oxfords,Footwear,133,New York,L,Orange,Summer,1.7,No,Next Day Air,Yes,Yes,28,Google Pay,Monthly
174,63,Male,Raincoat,Outerwear,67,Ohio,XXL,White,Spring,4.2,Yes,Free Shipping,No,Yes,29,Credit Card,Bi-Weekly
175,58,Female,Puffer Jacket,Outerwear,114,Colorado,L,Teal,Spring,2.4,No,Two-Day Shipping,Yes,No,58,Google Pay,Quarterly
176,38,Male,Dress,Clothing,76,Ohio,XS,Navy,Fall,3.8,No,Next Day Air,Yes,No,27,Debit Card,Monthly
177,49,Female,Loafers,Footwear,50,Florida,M,Yellow,Spring,4.5,Yes,Next Day Air,Yes,Yes,52,Apple Pay,Quarterly
178,61,Female,Parka,Outerwear,121,Oregon,L,Yellow,Summer,1.3,Yes,Express,No,Yes,17,Debit Card,Quarterly
179,67,Female,Sunglasses,Accessories,141,Michigan,XL,White,Spring,2.1,No,Two-Day Shipping,Yes,No,34,Debit Card,Monthly
180,37,Male,Hoodie,Clothing,130,Ohio,M,White,Winter,4.5,Yes,Express,Yes,No,55,Cash,Quarterly
181,57,Male,Windbreaker,Outerwear,67,Washington,S,Black,Fall,3.1,Yes,Free Shipping,No,No,36,PayPal,Quarterly
182,66,Female,Dress,Clothing,30,Ohio,XXL,Navy,Summer,2,No,Express,No,No,9,Google Pay,Annually
183,42,Female,Bracelet,Accessories,34,Nevada,XS,Pink,Fall,3.8,No,Next Day Air,No,No,37,Credit Card,Annually
184,58,Female,Cardigan,Clothing,31,Virginia,XL,Pink,Summer,4.9,Yes,Next Day Air,No,No,53,PayPal,Bi-Weekly
185,68,Female,Slip-ons,Footwear,27,Texas,XS,Orange,Winter,1.1,Yes,Next Day Air,No,Yes,27,Debit Card,Annually
186,28,Female,Flip Flops,Footwear,38,Nevada,M,Olive,Spring,2.5,Yes,Standard,No,No,46,Cash,Weekly
187,63,Male,Raincoat,Outerwear,15,New York,L,White,Summer,3.4,No,Standard,Yes,No,52,Credit Card,Monthly
188,22,Male,Slip-ons,Footwear,113,California,XXL,White,Spring,2.3,No,Express,No,Yes,41,Cash,Weekly
189,54,Male,Leggings,Clothing,57,Arizona,M,Cream,Summer,3.5,Yes,Next Day Air,No,Yes,5,Credit Card,Weekly
190,64,Female,Vest,Clothing,104,Illinois,M,Navy,Summer,2.1,Yes,Express,No,Yes,54,Bank Transfer,Annually
191,51,Male,Scarf,Accessories,115,Ohio,XXL,Black,Summer,3,Yes,Express,No,Yes,33,Credit Card,Bi-Weekly
192,42,Female,Sunglasses,Accessories,108,Michigan,XXL,Navy,Winter,4.8,Yes,Standard,Yes,Yes,16,Debit Card,Daily
193,50,Female,Coat,Clothing,143,Virginia,L,Pink,Winter,1.3,Yes,Free Shipping,Yes,No,5,Google Pay,Weekly
194,43,Male,Oxfords,Footwear,94,Oregon,L,Cream,Summer,1.2,Yes,Next Day Air,Yes,No,39,Google Pay,Daily
195,25,Male,Sunglasses,Accessories,50,Oregon,XS,Navy,Winter,4.8,No,Express,No,Yes,47,Bank Transfer,Bi-Weekly
196,39,Female,T-shirt,Clothing,84,Michigan,XS,Olive,Spring,3,No,Standard,No,Yes,23,Debit Card,Bi-Weekly
197,61,Male,Vest,Clothing,73,Oregon,XL,Black,Spring,4.4,Yes,Express,Yes,No,23,Apple Pay,Weekly
198,53,Female,Sneakers,Footwear,72,Georgia,S,Pink,Fall,2.1,Yes,Two-Day Shipping,No,Yes,32,Cash,Daily
199,69,Male,Heels,Footwear,117,California,L,Olive,Fall,2.3,No,Standard,No,Yes,18,Google Pay,Bi-Weekly
200,41,Female,Slip-ons,Footwear,65,Oregon,XL,Red,Summer,1,No,Standard,Yes,No,40,Bank Transfer,Annually
201,18,Female,Skirt,Clothing,93,California,S,Purple,Summer,2.7,Yes,Express,No,Yes,2,Debit Card,Quarterly
202,47,Male,Trench Coat,Outerwear,39,Michigan,S,Orange,Winter,1.3,Yes,Next Day Air,Yes,Yes,18,PayPal,Bi-Weekly
203,38,Female,Trench Coat,Outerwear,84,New York,XS,Red,Summer,4.1,Yes,Express,Yes,Yes,28,Apple Pay,Bi-Weekly
